group,model,a,b,tau,L,N,density,step,time_s,mean_velocity
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,9000,9.0,0.4872445618400401
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,9500,9.5,0.44879616753804735
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,10000,10.0,0.5556920796074796
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,10500,10.5,0.4298443139898465
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,11000,11.0,0.4410074552610229
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,11500,11.5,0.46290230098323876
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,12000,12.0,0.5357313389009299
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,12500,12.5,0.41503452776717753
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,13000,13.0,0.5378394045709904
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,13500,13.5,0.5275776652565296
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,14000,14.0,0.411645628205431
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,14500,14.5,0.42732182805663993
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,15000,15.0,0.488719091684065
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,15500,15.5,0.500365878084017
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,16000,16.0,0.5617034128427546
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,16500,16.5,0.5480862023608116
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,17000,17.0,0.43482074650221525
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,17500,17.5,0.5271096263934529
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,18000,18.0,0.4587336380746862
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,18500,18.5,0.3682949142338735
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,19000,19.0,0.5532872007891613
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,19500,19.5,0.5028537110312395
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,20000,20.0,0.4970863503508582
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,20500,20.5,0.4757754369731318
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,21000,21.0,0.4506610453929863
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,21500,21.5,0.4876167616918206
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,22000,22.0,0.4616370107879987
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,22500,22.5,0.529882279741181
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,23000,23.0,0.500915533297536
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,23500,23.5,0.5168398751382006
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,24000,24.0,0.43144271387670063
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,24500,24.5,0.538815411512705
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,25000,25.0,0.5303252932477153
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,25500,25.5,0.4478611115820489
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,26000,26.0,0.5234988692660816
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,26500,26.5,0.5427083067622831
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,27000,27.0,0.4399449687696661
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,27500,27.5,0.5107157376776532
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,28000,28.0,0.5162738368003876
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,28500,28.5,0.37946186544156046
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,29000,29.0,0.5600675243333537
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,29500,29.5,0.5303717810650531
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,30000,30.0,0.4251042069466324
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,30500,30.5,0.44729296669015123
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,31000,31.0,0.5887991327268006
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,31500,31.5,0.46700182092712045
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,32000,32.0,0.4132041583737765
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,32500,32.5,0.48313596475967924
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,33000,33.0,0.5742151774745221
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,33500,33.5,0.48840561244224484
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,34000,34.0,0.34660241302982
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,34500,34.5,0.5364254425352925
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,35000,35.0,0.5456439116300734
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,35500,35.5,0.5005564632321933
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,36000,36.0,0.36132021380751533
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,36500,36.5,0.5418997816777225
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,37000,37.0,0.5648369551463077
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,37500,37.5,0.37550202595055054
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,38000,38.0,0.5581162031768352
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,38500,38.5,0.4173532159900518
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,39000,39.0,0.49968779052022755
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,39500,39.5,0.48950139671156273
C_tau_transient,HardBodyModel,0.36,0.56,0.61,17.3,20,1.1560693641618496,40000,40.0,0.477293867712506
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,0,0.0,0.0
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,500,0.5,0.3398901352313831
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,1000,1.0,0.447260379026735
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,1500,1.5,0.4507998965131403
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,2000,2.0,0.4269402136579566
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,2500,2.5,0.5206126079745973
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,3000,3.0,0.4519016338587066
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,3500,3.5,0.46484370607465186
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,4000,4.0,0.46056765852105075
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,4500,4.5,0.5157101427766491
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,5000,5.0,0.4562272471880428
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,5500,5.5,0.4234693282299678
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,6000,6.0,0.4641083369934657
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,6500,6.5,0.4510796990809977
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,7000,7.0,0.5049096951595076
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,7500,7.5,0.47396681930994955
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,8000,8.0,0.501829197186076
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,8500,8.5,0.4380286291062778
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,9000,9.0,0.4867756816520454
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,9500,9.5,0.48925914662168674
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,10000,10.0,0.45226130937856707
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,10500,10.5,0.4527767316490646
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,11000,11.0,0.49112623551178397
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,11500,11.5,0.4166439196262501
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,12000,12.0,0.5710793499045669
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,12500,12.5,0.383327712168084
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,13000,13.0,0.5477663737587422
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,13500,13.5,0.4019042860060792
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,14000,14.0,0.5325560722928137
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,14500,14.5,0.38919681565225533
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,15000,15.0,0.5210915033932738
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,15500,15.5,0.4165845783391373
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,16000,16.0,0.47454119176460263
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,16500,16.5,0.4036207383043515
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,17000,17.0,0.4636947598719563
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,17500,17.5,0.42397037660663184
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,18000,18.0,0.45403883063847517
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,18500,18.5,0.4867256295645831
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,19000,19.0,0.47751921619739945
C_tau_transient,HardBodyModel,0.36,0.56,1.0,17.3,20,1.1560693641618496,19500,19.5,0.43688228070815516
